query,method,soft_precision,soft_recall,soft_f1,hungarian_precision,hungarian_recall,hungarian_f1,pred_size,true_size,eval_type,motif_similarity,n_pos_feedback_pred,n_neg_feedback_pred,cascade_depth_pred,n_fanout_pred,n_fanin_pred,n_bottleneck_pred,n_pos_feedback_gt,n_neg_feedback_gt,cascade_depth_gt,n_fanout_gt,n_fanin_gt,n_bottleneck_gt,homology_score,pred_density,gt_density,pred_rel_entropy,gt_rel_entropy,pred_out_entropy,gt_out_entropy,universality_score,jsd,pred_regulatory_enforcement,gt_regulatory_enforcement,pred_amplification_cascade,gt_amplification_cascade,pred_contagion_spread,gt_contagion_spread,pred_information_signaling,gt_information_signaling,pred_resource_constraint,gt_resource_constraint,pred_threshold_tipping,gt_threshold_tipping,fidelity,fidelity_max,fidelity_min,n_back_translated,n_predicted,coherence_score,mean_raw_score,n_judged
Cross-border financial contagion and central bank coordination frameworks,left_kan,0.06868342310190201,0.07570371776819229,0.07202290240704774,0.48791101574897766,0.19516441226005554,0.2788063007958081,15.0,15.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recovery and resolution planning for financial market infrastructures,left_kan,0.08235582709312439,0.07388310134410858,0.07788972927888002,0.4682624936103821,0.24974001248677571,0.325747835162907,15.0,15.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiduciary duties and legal obligations of board members,left_kan,0.03389735147356987,0.03532181307673454,0.034594925273207205,0.42481207847595215,0.10620302148163319,0.16992483377456663,14.0,16.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Committee formations and their specific functions,left_kan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quorum requirements and participation thresholds,left_kan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unconventional monetary policy tools during economic crises,left_kan,0.024100912734866142,0.01456648763269186,0.018158223410517038,0.43856146931648254,0.08223027549684048,0.13849309557362607,8.0,16.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open market operations and asset purchase programs,left_kan,0.11030730605125427,0.0684657096862793,0.08449002173201163,0.4874124228954315,0.17202791221001568,0.25430213176911176,9.0,17.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
board of governors structural organization,left_kan,0.0648399144411087,0.01496313139796257,0.024315065907921776,0.4229155480861664,0.0792966578155756,0.13355226777597132,4.0,16.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Taylor Rule and systematic policy frameworks,left_kan,0.014171666465699673,0.0073083266615867615,0.009643501025037068,0.4348219633102417,0.051155525095322556,0.09154146596005089,9.0,17.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Real Estate and Construction Market Conditions Across Regions,left_kan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roles and responsibilities of individual board members,right_kan,0.0835452675819397,0.02482076920568943,0.038271360037698036,0.4555342197418213,0.08038839347222272,0.13666026845574378,4.0,17.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal Reserve Annual Reports and Financial Disclosures,right_kan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redundant payment gateway architecture and failover switching mechanisms,right_kan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
federal reserve public communication channels,right_kan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indemnification and liability protection policies for board members,right_kan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monetary Policy Reports Submitted to Congress,right_kan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportional representation methods and their implementation,right_kan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The impact of unconvent,right_kan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beige Book Regional Economic Condition Reports,right_kan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal Reserve Bank Presidents' Speeches and Public Addresses,right_kan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cross-border financial contagion and central bank coordination frameworks,right_kan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recovery and resolution planning for financial market infrastructures,right_kan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiduciary duties and legal obligations of board members,right_kan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Committee formations and their specific functions,right_kan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quorum requirements and participation thresholds,right_kan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unconventional monetary policy tools during economic crises,right_kan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open market operations and asset purchase programs,right_kan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
board of governors structural organization,right_kan,0.0648399144411087,0.01496313139796257,0.024315065907921776,0.4229155480861664,0.0792966578155756,0.13355226777597132,4.0,16.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Taylor Rule and systematic policy frameworks,right_kan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Real Estate and Construction Market Conditions Across Regions,right_kan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roles and responsibilities of individual board members,naive_rag,0.018456343561410904,0.02482076920568943,0.021170573295127237,0.08322580307722091,0.4161289930343628,0.13870967055360467,20.0,17.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal Reserve Annual Reports and Financial Disclosures,naive_rag,0.02915019728243351,0.04216020926833153,0.03446841708203278,0.11127127110958099,0.4450851082801819,0.17803403568267812,20.0,14.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redundant payment gateway architecture and failover switching mechanisms,naive_rag,0.06553934514522552,0.040960609912872314,0.050413759310493966,0.09003491550683976,0.45017457008361816,0.15005819209747848,20.0,18.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
federal reserve public communication channels,naive_rag,0.03702728450298309,0.026199951767921448,0.030686556151804534,0.07341601699590683,0.48944011330604553,0.12768002955809885,20.0,19.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indemnification and liability protection policies for board members,naive_rag,0.023112131282687187,0.0332440510392189,0.02726731443936438,0.08535337448120117,0.42676687240600586,0.1422556241353353,20.0,17.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monetary Policy Reports Submitted to Congress,naive_rag,0.08078145235776901,0.08527953177690506,0.08296957252453688,0.15080757737159728,0.502691924571991,0.23201165749476502,20.0,15.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportional representation methods and their implementation,naive_rag,0.0014188612112775445,0.0015765124699100852,0.0014935381229388995,0.0,0.0,0.0,20.0,18.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The impact of unconvent,naive_rag,0.019687484949827194,0.02738451212644577,0.022906704785615118,0.0896725371479988,0.44836267828941345,0.14945422816607687,20.0,16.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beige Book Regional Economic Condition Reports,naive_rag,0.02036583423614502,0.009875431656837463,0.013301123362048224,0.020448175072669984,0.40896350145339966,0.03894890490032378,20.0,14.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal Reserve Bank Presidents' Speeches and Public Addresses,naive_rag,0.020882965996861458,0.01742584817111492,0.01899841604223095,0.06867354959249497,0.45782366394996643,0.11943226016086082,20.0,17.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cross-border financial contagion and central bank coordination frameworks,naive_rag,0.058126725256443024,0.07731892168521881,0.06636308835908028,0.18876652866601945,0.4719163179397583,0.2696664689146743,20.0,15.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recovery and resolution planning for financial market infrastructures,naive_rag,0.06327491998672485,0.0880635529756546,0.07363909730563255,0.21035463660955428,0.4674547612667084,0.2901443289094532,20.0,15.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiduciary duties and legal obligations of board members,naive_rag,0.027338549494743347,0.03532181307673454,0.030821626157711668,0.10862811058759689,0.4345124363899231,0.17380497646331786,20.0,16.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Committee formations and their specific functions,naive_rag,0.0038675018586218357,0.009066253900527954,0.005422052876825667,0.022320501506328583,0.44641003012657166,0.042515240964435395,20.0,16.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quorum requirements and participation thresholds,naive_rag,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unconventional monetary policy tools during economic crises,naive_rag,0.04810137301683426,0.0440242663025856,0.045972601565799416,0.13106144964694977,0.4368714988231659,0.2016329994568458,20.0,16.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open market operations and asset purchase programs,naive_rag,0.052719853818416595,0.0710928738117218,0.06054314425704929,0.16492998450994492,0.47122853994369507,0.2443407195095172,20.0,17.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
board of governors structural organization,naive_rag,0.01296798326075077,0.01496313139796257,0.01389429959156034,0.020791247487068176,0.4158249497413635,0.039602376165844146,20.0,16.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Taylor Rule and systematic policy frameworks,naive_rag,0.0063772499561309814,0.0073083266615867615,0.006811116138381229,0.04348219633102417,0.4348219633102417,0.0790585387836803,20.0,17.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Real Estate and Construction Market Conditions Across Regions,naive_rag,0.021664414554834366,0.01904507540166378,0.02027047792397421,0.04601348340511322,0.4601348340511322,0.08366087891838768,20.0,17.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roles and responsibilities of individual board members,left_kan,,,,,,,,,motif,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal Reserve Annual Reports and Financial Disclosures,left_kan,,,,,,,,,motif,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redundant payment gateway architecture and failover switching mechanisms,left_kan,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
federal reserve public communication channels,left_kan,,,,,,,,,motif,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indemnification and liability protection policies for board members,left_kan,,,,,,,,,motif,0.7071068286895752,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monetary Policy Reports Submitted to Congress,left_kan,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportional representation methods and their implementation,left_kan,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The impact of unconvent,left_kan,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beige Book Regional Economic Condition Reports,left_kan,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal Reserve Bank Presidents' Speeches and Public Addresses,left_kan,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cross-border financial contagion and central bank coordination frameworks,left_kan,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recovery and resolution planning for financial market infrastructures,left_kan,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiduciary duties and legal obligations of board members,left_kan,,,,,,,,,motif,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Committee formations and their specific functions,left_kan,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quorum requirements and participation thresholds,left_kan,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unconventional monetary policy tools during economic crises,left_kan,,,,,,,,,motif,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open market operations and asset purchase programs,left_kan,,,,,,,,,motif,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
board of governors structural organization,left_kan,,,,,,,,,motif,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Taylor Rule and systematic policy frameworks,left_kan,,,,,,,,,motif,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Real Estate and Construction Market Conditions Across Regions,left_kan,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roles and responsibilities of individual board members,right_kan,,,,,,,,,motif,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal Reserve Annual Reports and Financial Disclosures,right_kan,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redundant payment gateway architecture and failover switching mechanisms,right_kan,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
federal reserve public communication channels,right_kan,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indemnification and liability protection policies for board members,right_kan,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monetary Policy Reports Submitted to Congress,right_kan,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportional representation methods and their implementation,right_kan,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The impact of unconvent,right_kan,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beige Book Regional Economic Condition Reports,right_kan,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal Reserve Bank Presidents' Speeches and Public Addresses,right_kan,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cross-border financial contagion and central bank coordination frameworks,right_kan,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recovery and resolution planning for financial market infrastructures,right_kan,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiduciary duties and legal obligations of board members,right_kan,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Committee formations and their specific functions,right_kan,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quorum requirements and participation thresholds,right_kan,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unconventional monetary policy tools during economic crises,right_kan,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open market operations and asset purchase programs,right_kan,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
board of governors structural organization,right_kan,,,,,,,,,motif,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Taylor Rule and systematic policy frameworks,right_kan,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Real Estate and Construction Market Conditions Across Regions,right_kan,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roles and responsibilities of individual board members,naive_rag,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal Reserve Annual Reports and Financial Disclosures,naive_rag,,,,,,,,,motif,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redundant payment gateway architecture and failover switching mechanisms,naive_rag,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
federal reserve public communication channels,naive_rag,,,,,,,,,motif,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indemnification and liability protection policies for board members,naive_rag,,,,,,,,,motif,0.7071067690849304,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monetary Policy Reports Submitted to Congress,naive_rag,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportional representation methods and their implementation,naive_rag,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The impact of unconvent,naive_rag,,,,,,,,,motif,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beige Book Regional Economic Condition Reports,naive_rag,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal Reserve Bank Presidents' Speeches and Public Addresses,naive_rag,,,,,,,,,motif,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cross-border financial contagion and central bank coordination frameworks,naive_rag,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recovery and resolution planning for financial market infrastructures,naive_rag,,,,,,,,,motif,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiduciary duties and legal obligations of board members,naive_rag,,,,,,,,,motif,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
