query,method,soft_precision,soft_recall,soft_f1,hungarian_precision,hungarian_recall,hungarian_f1,pred_size,true_size
federal reserve public communication channels,naive_rag,0.03702728450298309,0.026199951767921448,0.030686556151804534,0.07341601699590683,0.48944011330604553,0.12768002955809885,20,19
Indemnification and liability protection policies for board members,naive_rag,0.023112131282687187,0.0332440510392189,0.02726731443936438,0.08535337448120117,0.42676687240600586,0.1422556241353353,20,17
Monetary Policy Reports Submitted to Congress,naive_rag,0.08078145235776901,0.08527953177690506,0.08296957252453688,0.15080757737159728,0.502691924571991,0.23201165749476502,20,15
Proportional representation methods and their implementation,naive_rag,0.0014188612112775445,0.0015765124699100852,0.0014935381229388995,0.0,0.0,0.0,20,18
The impact of unconvent,naive_rag,0.019687484949827194,0.02738451212644577,0.022906704785615118,0.0896725371479988,0.44836267828941345,0.14945422816607687,20,16
Beige Book Regional Economic Condition Reports,naive_rag,0.02036583423614502,0.009875431656837463,0.013301123362048224,0.020448175072669984,0.40896350145339966,0.03894890490032378,20,14
Federal Reserve Bank Presidents' Speeches and Public Addresses,naive_rag,0.020882965996861458,0.01742584817111492,0.01899841604223095,0.06867354959249497,0.45782366394996643,0.11943226016086082,20,17
Cross-border financial contagion and central bank coordination frameworks,naive_rag,0.058126725256443024,0.07731892168521881,0.06636308835908028,0.18876652866601945,0.4719163179397583,0.2696664689146743,20,15
Recovery and resolution planning for financial market infrastructures,naive_rag,0.06327491998672485,0.0880635529756546,0.07363909730563255,0.21035463660955428,0.4674547612667084,0.2901443289094532,20,15
Fiduciary duties and legal obligations of board members,naive_rag,0.027338549494743347,0.03532181307673454,0.030821626157711668,0.10862811058759689,0.4345124363899231,0.17380497646331786,20,16
Committee formations and their specific functions,naive_rag,0.0038675018586218357,0.009066253900527954,0.005422052876825667,0.022320501506328583,0.44641003012657166,0.042515240964435395,20,16
Quorum requirements and participation thresholds,naive_rag,0.0,0.0,0.0,0.0,0.0,0.0,20,16
Unconventional monetary policy tools during economic crises,naive_rag,0.04810137301683426,0.0440242663025856,0.045972601565799416,0.13106144964694977,0.4368714988231659,0.2016329994568458,20,16
Open market operations and asset purchase programs,naive_rag,0.052719853818416595,0.0710928738117218,0.06054314425704929,0.16492998450994492,0.47122853994369507,0.2443407195095172,20,17
board of governors structural organization,naive_rag,0.01296798326075077,0.01496313139796257,0.01389429959156034,0.020791247487068176,0.4158249497413635,0.039602376165844146,20,16
The Taylor Rule and systematic policy frameworks,naive_rag,0.0063772499561309814,0.0073083266615867615,0.006811116138381229,0.04348219633102417,0.4348219633102417,0.0790585387836803,20,17
Real Estate and Construction Market Conditions Across Regions,naive_rag,0.021664414554834366,0.01904507540166378,0.02027047792397421,0.04601348340511322,0.4601348340511322,0.08366087891838768,20,17
