query,method,universality_score,jsd,pred_regulatory_enforcement,gt_regulatory_enforcement,pred_amplification_cascade,gt_amplification_cascade,pred_contagion_spread,gt_contagion_spread,pred_information_signaling,gt_information_signaling,pred_resource_constraint,gt_resource_constraint,pred_threshold_tipping,gt_threshold_tipping
federal reserve public communication channels,naive_rag,0.8810771520999401,0.11892284790005991,0.44999998807907104,0.2631579041481018,0.10000000149011612,0.0,0.05000000074505806,0.0,0.30000001192092896,0.5789473652839661,0.05000000074505806,0.15789473056793213,0.05000000074505806,0.0
Indemnification and liability protection policies for board members,naive_rag,0.8599968742704207,0.1400031257295793,0.6499999761581421,1.0,0.10000000149011612,0.0,0.05000000074505806,0.0,0.20000000298023224,0.0,0.0,0.0,0.0,0.0
Monetary Policy Reports Submitted to Congress,naive_rag,0.9436014977853887,0.056398502214611325,0.550000011920929,0.5333333611488342,0.10000000149011612,0.0,0.0,0.0,0.20000000298023224,0.13333334028720856,0.10000000149011612,0.20000000298023224,0.05000000074505806,0.13333334028720856
Proportional representation methods and their implementation,naive_rag,0.7559006235609186,0.24409937643908142,0.44999998807907104,1.0,0.15000000596046448,0.0,0.10000000149011612,0.0,0.25,0.0,0.05000000074505806,0.0,0.0,0.0
The impact of unconvent,naive_rag,0.860362724763285,0.13963727523671493,0.5,0.6875,0.05000000074505806,0.0,0.10000000149011612,0.0,0.25,0.1875,0.10000000149011612,0.0,0.0,0.125
Beige Book Regional Economic Condition Reports,naive_rag,0.8609376519302736,0.13906234806972645,0.6000000238418579,0.4285714328289032,0.15000000596046448,0.0,0.0,0.0,0.15000000596046448,0.0714285746216774,0.10000000149011612,0.5,0.0,0.0
Federal Reserve Bank Presidents' Speeches and Public Addresses,naive_rag,0.861974213460234,0.1380257865397661,0.44999998807907104,0.1764705926179886,0.05000000074505806,0.0,0.05000000074505806,0.0,0.30000001192092896,0.7647058963775635,0.10000000149011612,0.05882352963089943,0.05000000074505806,0.0
Cross-border financial contagion and central bank coordination frameworks,naive_rag,0.8294619162105228,0.17053808378947727,0.6000000238418579,0.4000000059604645,0.05000000074505806,0.2666666805744171,0.10000000149011612,0.3333333432674408,0.10000000149011612,0.0,0.10000000149011612,0.0,0.05000000074505806,0.0
Recovery and resolution planning for financial market infrastructures,naive_rag,0.8369908692993835,0.16300913070061657,0.44999998807907104,0.46666666865348816,0.10000000149011612,0.0,0.10000000149011612,0.3333333432674408,0.20000000298023224,0.0,0.10000000149011612,0.20000000298023224,0.05000000074505806,0.0
Fiduciary duties and legal obligations of board members,naive_rag,0.9449700813118685,0.055029918688131486,0.8500000238418579,1.0,0.05000000074505806,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.0
Committee formations and their specific functions,naive_rag,0.8589543310875472,0.14104566891245282,0.5,0.9375,0.10000000149011612,0.0,0.0,0.0,0.3499999940395355,0.0625,0.05000000074505806,0.0,0.0,0.0
Quorum requirements and participation thresholds,naive_rag,0.8658117798903341,0.13418822010966588,0.6000000238418579,0.6875,0.15000000596046448,0.0,0.05000000074505806,0.0,0.10000000149011612,0.0,0.10000000149011612,0.3125,0.0,0.0
Unconventional monetary policy tools during economic crises,naive_rag,0.8655129036757738,0.13448709632422623,0.5,0.125,0.15000000596046448,0.0625,0.10000000149011612,0.1875,0.10000000149011612,0.125,0.10000000149011612,0.4375,0.05000000074505806,0.0625
Open market operations and asset purchase programs,naive_rag,0.8981951026791957,0.1018048973208043,0.5,0.529411792755127,0.05000000074505806,0.0,0.10000000149011612,0.0,0.25,0.11764705926179886,0.10000000149011612,0.3529411852359772,0.0,0.0
board of governors structural organization,naive_rag,0.9087100552174825,0.09128994478251755,0.699999988079071,0.75,0.05000000074505806,0.0625,0.05000000074505806,0.0,0.15000000596046448,0.0,0.05000000074505806,0.1875,0.0,0.0
The Taylor Rule and systematic policy frameworks,naive_rag,0.88831039159917,0.11168960840083,0.6499999761581421,0.7058823704719543,0.15000000596046448,0.0,0.05000000074505806,0.0,0.10000000149011612,0.05882352963089943,0.05000000074505806,0.1764705926179886,0.0,0.05882352963089943
Real Estate and Construction Market Conditions Across Regions,naive_rag,0.8513331147354292,0.14866688526457084,0.44999998807907104,0.29411765933036804,0.10000000149011612,0.0,0.0,0.0,0.30000001192092896,0.1764705926179886,0.10000000149011612,0.529411792755127,0.05000000074505806,0.0
