query,method,soft_precision,soft_recall,soft_f1,hungarian_precision,hungarian_recall,hungarian_f1,pred_size,true_size,eval_type,motif_similarity,n_pos_feedback_pred,n_neg_feedback_pred,cascade_depth_pred,n_fanout_pred,n_fanin_pred,n_bottleneck_pred,n_pos_feedback_gt,n_neg_feedback_gt,cascade_depth_gt,n_fanout_gt,n_fanin_gt,n_bottleneck_gt,homology_score,pred_density,gt_density,pred_rel_entropy,gt_rel_entropy,pred_out_entropy,gt_out_entropy,universality_score,jsd,pred_regulatory_enforcement,gt_regulatory_enforcement,pred_amplification_cascade,gt_amplification_cascade,pred_contagion_spread,gt_contagion_spread,pred_information_signaling,gt_information_signaling,pred_resource_constraint,gt_resource_constraint,pred_threshold_tipping,gt_threshold_tipping,fidelity,n_back_translated,n_predicted,fidelity_max,fidelity_min,coherence_score,mean_raw_score,n_judged
Redundant payment gateway architecture and failover switching mechanisms,naive_rag,0.0,0.0,0.0,0.0,0.0,0.0,20.0,18.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
federal reserve public communication channels,naive_rag,0.0,0.0,0.0,0.0,0.0,0.0,20.0,19.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indemnification and liability protection policies for board members,naive_rag,0.0,0.0,0.0,0.0,0.0,0.0,20.0,17.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monetary Policy Reports Submitted to Congress,naive_rag,0.0,0.0,0.0,0.0,0.0,0.0,20.0,15.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportional representation methods and their implementation,naive_rag,0.0,0.0,0.0,0.0,0.0,0.0,20.0,18.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The impact of unconvent,naive_rag,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beige Book Regional Economic Condition Reports,naive_rag,0.0,0.0,0.0,0.0,0.0,0.0,20.0,14.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal Reserve Bank Presidents' Speeches and Public Addresses,naive_rag,0.0,0.0,0.0,0.0,0.0,0.0,20.0,17.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cross-border financial contagion and central bank coordination frameworks,naive_rag,0.0,0.0,0.0,0.0,0.0,0.0,20.0,15.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recovery and resolution planning for financial market infrastructures,naive_rag,0.0,0.0,0.0,0.0,0.0,0.0,20.0,15.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiduciary duties and legal obligations of board members,naive_rag,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Committee formations and their specific functions,naive_rag,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quorum requirements and participation thresholds,naive_rag,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unconventional monetary policy tools during economic crises,naive_rag,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open market operations and asset purchase programs,naive_rag,0.0,0.0,0.0,0.0,0.0,0.0,20.0,17.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
board of governors structural organization,naive_rag,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Taylor Rule and systematic policy frameworks,naive_rag,0.0,0.0,0.0,0.0,0.0,0.0,20.0,17.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Real Estate and Construction Market Conditions Across Regions,naive_rag,0.0,0.0,0.0,0.0,0.0,0.0,20.0,17.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roles and responsibilities of individual board members,left_kan,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal Reserve Annual Reports and Financial Disclosures,left_kan,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redundant payment gateway architecture and failover switching mechanisms,left_kan,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
federal reserve public communication channels,left_kan,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indemnification and liability protection policies for board members,left_kan,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monetary Policy Reports Submitted to Congress,left_kan,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportional representation methods and their implementation,left_kan,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The impact of unconvent,left_kan,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beige Book Regional Economic Condition Reports,left_kan,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal Reserve Bank Presidents' Speeches and Public Addresses,left_kan,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cross-border financial contagion and central bank coordination frameworks,left_kan,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recovery and resolution planning for financial market infrastructures,left_kan,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiduciary duties and legal obligations of board members,left_kan,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Committee formations and their specific functions,left_kan,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quorum requirements and participation thresholds,left_kan,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unconventional monetary policy tools during economic crises,left_kan,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open market operations and asset purchase programs,left_kan,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
board of governors structural organization,left_kan,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Taylor Rule and systematic policy frameworks,left_kan,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Real Estate and Construction Market Conditions Across Regions,left_kan,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roles and responsibilities of individual board members,right_kan,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal Reserve Annual Reports and Financial Disclosures,right_kan,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redundant payment gateway architecture and failover switching mechanisms,right_kan,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
federal reserve public communication channels,right_kan,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indemnification and liability protection policies for board members,right_kan,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monetary Policy Reports Submitted to Congress,right_kan,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportional representation methods and their implementation,right_kan,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The impact of unconvent,right_kan,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beige Book Regional Economic Condition Reports,right_kan,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal Reserve Bank Presidents' Speeches and Public Addresses,right_kan,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cross-border financial contagion and central bank coordination frameworks,right_kan,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recovery and resolution planning for financial market infrastructures,right_kan,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiduciary duties and legal obligations of board members,right_kan,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Committee formations and their specific functions,right_kan,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quorum requirements and participation thresholds,right_kan,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unconventional monetary policy tools during economic crises,right_kan,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open market operations and asset purchase programs,right_kan,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
board of governors structural organization,right_kan,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Taylor Rule and systematic policy frameworks,right_kan,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Real Estate and Construction Market Conditions Across Regions,right_kan,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roles and responsibilities of individual board members,naive_rag,,,,,,,,,motif,0.7071067690849304,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal Reserve Annual Reports and Financial Disclosures,naive_rag,,,,,,,,,motif,0.7071067690849304,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redundant payment gateway architecture and failover switching mechanisms,naive_rag,,,,,,,,,motif,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
federal reserve public communication channels,naive_rag,,,,,,,,,motif,0.7071067690849304,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indemnification and liability protection policies for board members,naive_rag,,,,,,,,,motif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monetary Policy Reports Submitted to Congress,naive_rag,,,,,,,,,motif,0.7071067690849304,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportional representation methods and their implementation,naive_rag,,,,,,,,,motif,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The impact of unconvent,naive_rag,,,,,,,,,motif,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beige Book Regional Economic Condition Reports,naive_rag,,,,,,,,,motif,0.7071067690849304,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal Reserve Bank Presidents' Speeches and Public Addresses,naive_rag,,,,,,,,,motif,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cross-border financial contagion and central bank coordination frameworks,naive_rag,,,,,,,,,motif,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recovery and resolution planning for financial market infrastructures,naive_rag,,,,,,,,,motif,0.7071067690849304,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiduciary duties and legal obligations of board members,naive_rag,,,,,,,,,motif,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Committee formations and their specific functions,naive_rag,,,,,,,,,motif,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quorum requirements and participation thresholds,naive_rag,,,,,,,,,motif,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unconventional monetary policy tools during economic crises,naive_rag,,,,,,,,,motif,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open market operations and asset purchase programs,naive_rag,,,,,,,,,motif,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
board of governors structural organization,naive_rag,,,,,,,,,motif,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Taylor Rule and systematic policy frameworks,naive_rag,,,,,,,,,motif,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Real Estate and Construction Market Conditions Across Regions,naive_rag,,,,,,,,,motif,0.7071067690849304,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roles and responsibilities of individual board members,left_kan,,,,,,,,,homology,,,,,,,,,,,,,,0.0,0.0,0.01515151560306549,0.0,1.283172607421875,0.0,2.8332133293151855,,,,,,,,,,,,,,,,,,,,,,
