query,method,homology_score,pred_density,gt_density,pred_rel_entropy,gt_rel_entropy,pred_out_entropy,gt_out_entropy
Unconventional monetary policy tools during economic crises,left_kan,0.987463116645813,0.03333333507180214,0.016129031777381897,0.6931471824645996,1.40753173828125,2.079441547393799,2.7725887298583984
Open market operations and asset purchase programs,left_kan,0.9947638511657715,0.029411764815449715,0.01515151560306549,1.3107837438583374,1.2980356216430664,2.1972246170043945,2.8332133293151855
board of governors structural organization,left_kan,0.9486839771270752,0.0714285746216774,0.016129031777381897,1.0397207736968994,1.482709527015686,1.3862943649291992,2.7725887298583984
The Taylor Rule and systematic policy frameworks,left_kan,0.9965101480484009,0.029411764815449715,0.01515151560306549,1.3107837438583374,1.2181949615478516,2.1972246170043945,2.8332133293151855
Real Estate and Construction Market Conditions Across Regions,left_kan,0.0,0.0,0.01609848439693451,0.0,1.3180238008499146,0.0,2.75166654586792
Roles and responsibilities of individual board members,right_kan,0.9459840655326843,0.0714285746216774,0.01515151560306549,1.0397207736968994,1.283172607421875,1.3862943649291992,2.8332133293151855
Federal Reserve Annual Reports and Financial Disclosures,right_kan,0.0,0.0,0.018518518656492233,0.0,1.4377014636993408,0.0,2.6390578746795654
Redundant payment gateway architecture and failover switching mechanisms,right_kan,0.0,0.0,0.01512605044990778,0.0,1.0720434188842773,0.0,2.8133552074432373
federal reserve public communication channels,right_kan,0.0,0.0,0.013513513840734959,0.0,1.4152779579162598,0.0,2.9444386959075928
Indemnification and liability protection policies for board members,right_kan,0.0,0.0,0.01609848439693451,0.0,1.339717984199524,0.0,2.75166654586792
Monetary Policy Reports Submitted to Congress,right_kan,0.0,0.0,0.018472906202077866,0.0,1.1124565601348877,0.0,2.615631103515625
Proportional representation methods and their implementation,right_kan,0.0,0.0,0.014285714365541935,0.0,1.0893096923828125,0.0,2.890371561050415
The impact of unconvent,right_kan,0.0,0.0,0.016129031777381897,0.0,1.5808185338974,0.0,2.7725887298583984
Beige Book Regional Economic Condition Reports,right_kan,0.0,0.0,0.01994301937520504,0.0,1.3760554790496826,0.0,2.540036916732788
Federal Reserve Bank Presidents' Speeches and Public Addresses,right_kan,0.0,0.0,0.01609848439693451,0.0,1.3345928192138672,0.0,2.75166654586792
Cross-border financial contagion and central bank coordination frameworks,right_kan,0.0,0.0,0.017241379246115685,0.0,1.2654131650924683,0.0,2.7080507278442383
Recovery and resolution planning for financial market infrastructures,right_kan,0.0,0.0,0.017241379246115685,0.0,1.2654131650924683,0.0,2.7080507278442383
Fiduciary duties and legal obligations of board members,right_kan,0.0,0.0,0.016129031777381897,0.0,1.354710340499878,0.0,2.7725887298583984
Committee formations and their specific functions,right_kan,0.0,0.0,0.016129031777381897,0.0,1.1803045272827148,0.0,2.7725887298583984
Quorum requirements and participation thresholds,right_kan,0.0,0.0,0.016129031777381897,0.0,1.354710340499878,0.0,2.7725887298583984
Unconventional monetary policy tools during economic crises,right_kan,0.0,0.0,0.016129031777381897,0.0,1.40753173828125,0.0,2.7725887298583984
Open market operations and asset purchase programs,right_kan,0.0,0.0,0.01515151560306549,0.0,1.2980356216430664,0.0,2.8332133293151855
board of governors structural organization,right_kan,0.9486839771270752,0.0714285746216774,0.016129031777381897,1.0397207736968994,1.482709527015686,1.3862943649291992,2.7725887298583984
The Taylor Rule and systematic policy frameworks,right_kan,0.0,0.0,0.01515151560306549,0.0,1.2181949615478516,0.0,2.8332133293151855
Real Estate and Construction Market Conditions Across Regions,right_kan,0.0,0.0,0.01609848439693451,0.0,1.3180238008499146,0.0,2.75166654586792
Roles and responsibilities of individual board members,naive_rag,0.9968150854110718,0.012820512987673283,0.01515151560306549,1.5657305717468262,1.283172607421875,2.9957327842712402,2.8332133293151855
Federal Reserve Annual Reports and Financial Disclosures,naive_rag,0.9988179206848145,0.012820512987673283,0.018518518656492233,1.142120122909546,1.4377014636993408,2.9957327842712402,2.6390578746795654
Redundant payment gateway architecture and failover switching mechanisms,naive_rag,0.9979461431503296,0.012820512987673283,0.01512605044990778,1.3831487894058228,1.0720434188842773,2.9957327842712402,2.8133552074432373
federal reserve public communication channels,naive_rag,0.9983927011489868,0.012820512987673283,0.013513513840734959,1.3831487894058228,1.4152779579162598,2.9957327842712402,2.9444386959075928
Indemnification and liability protection policies for board members,naive_rag,0.9958522319793701,0.012820512987673283,0.01609848439693451,1.318095326423645,1.339717984199524,2.9957327842712402,2.75166654586792
Monetary Policy Reports Submitted to Congress,naive_rag,0.9955684542655945,0.012820512987673283,0.018472906202077866,1.3046616315841675,1.1124565601348877,2.9957327842712402,2.615631103515625
Proportional representation methods and their implementation,naive_rag,0.9901132583618164,0.012820512987673283,0.014285714365541935,1.1682825088500977,1.0893096923828125,2.9957327842712402,2.890371561050415
The impact of unconvent,naive_rag,0.999541163444519,0.012820512987673283,0.016129031777381897,1.4843372106552124,1.5808185338974,2.9957327842712402,2.7725887298583984
Beige Book Regional Economic Condition Reports,naive_rag,0.9938603043556213,0.012820512987673283,0.01994301937520504,1.44755220413208,1.3760554790496826,2.9957327842712402,2.540036916732788
Federal Reserve Bank Presidents' Speeches and Public Addresses,naive_rag,0.9964776039123535,0.012820512987673283,0.01609848439693451,1.258048176765442,1.3345928192138672,2.9957327842712402,2.75166654586792
Cross-border financial contagion and central bank coordination frameworks,naive_rag,0.9979516863822937,0.012820512987673283,0.017241379246115685,1.5430293083190918,1.2654131650924683,2.9957327842712402,2.7080507278442383
Recovery and resolution planning for financial market infrastructures,naive_rag,0.9977933168411255,0.012820512987673283,0.017241379246115685,1.37051522731781,1.2654131650924683,2.9957327842712402,2.7080507278442383
Fiduciary duties and legal obligations of board members,naive_rag,0.9969983100891113,0.012820512987673283,0.016129031777381897,1.356336236000061,1.354710340499878,2.9957327842712402,2.7725887298583984
Committee formations and their specific functions,naive_rag,0.9965869784355164,0.012820512987673283,0.016129031777381897,1.4184837341308594,1.1803045272827148,2.9957327842712402,2.7725887298583984
Quorum requirements and participation thresholds,naive_rag,0.9959961771965027,0.012820512987673283,0.016129031777381897,1.3747763633728027,1.354710340499878,2.9957327842712402,2.7725887298583984
Unconventional monetary policy tools during economic crises,naive_rag,0.999342143535614,0.012820512987673283,0.016129031777381897,1.3831487894058228,1.40753173828125,2.9957327842712402,2.7725887298583984
Open market operations and asset purchase programs,naive_rag,0.9974586963653564,0.012820512987673283,0.01515151560306549,1.6088829040527344,1.2980356216430664,2.9957327842712402,2.8332133293151855
board of governors structural organization,naive_rag,0.9988330602645874,0.012820512987673283,0.016129031777381897,1.5657305717468262,1.482709527015686,2.9957327842712402,2.7725887298583984
The Taylor Rule and systematic policy frameworks,naive_rag,0.9980216026306152,0.012820512987673283,0.01515151560306549,1.5571130514144897,1.2181949615478516,2.9957327842712402,2.8332133293151855
Real Estate and Construction Market Conditions Across Regions,naive_rag,0.9950111508369446,0.012820512987673283,0.01609848439693451,1.5571130514144897,1.3180238008499146,2.9957327842712402,2.75166654586792
